text,label
runs conceded,0
most number of runs given,0
no. of runs conceded,0
wicket,1
wickets,1
most wickets,1
highest wickets,1
wicket taker,1
number of wicket taker,1
most no. of wicktes,1
leading wicket taker,1
most no. of dismissals,1
best bowling figures,2
bowling figure,2
bowling performance,2
best bowling in an innings,2
best bowling figure in a match,2
best bowling figure in an innings,2
bowling average,6
average,6
best average in bowling,6
best avg,6
bowling avg,6
top average,6
top avg,6
bowling economy,3
economy,3
best economy in bowling,3
best economy,3
bowling economy,3
top economy,3
most economic,3
economic bowler,3
most economic,3
runs per over,3
run oper over,3
4-for,4
four for,4
4 for,4
most number of 4 fors,4
highest 4 fors,4
four wicket hall,4
four plus wickets,4
four,4
five,5
5-for,5
five for,5
5 for,5
most number of 5 fors,5
highest 5 fors,5
five wicket hall,5
five plus wickets,5

