text,label
run scorer,0
leading run scorer,0
highest run scorer,0
highest run,0
top run scorer,0
most number of runs,0
most no. of runs,0
most runs,0
highest batting average,0
the best average,0
best batting average,0
highest avg,0
batsman with top average,0
leading run getter,0
lowest runs,0
run getter,0
most sixes,0
most fours,0
most bounderies,0
wicket taker,1
best economy,1
leading wicket taker,1
most wickets,1
most no. of wickets,1
lowest economy,1
best bowling average,1
best bowling avg,1
highest wicket,1
best bowler,1
most catches,2
highest stumpings,2
most stumpings,2
highest catches,2
catch,2
stumping,2
dismissals fielder,2
fielding dismissals,2
keeper catches,2
fielder catches,2
keeper catch,2
field catch,2
